Date,Inv No.,Bill No.,Bill Date,Party Name,ProjectNo,Item Name,Qty,Unit,Rate,CGST %,SGST %,IGST %,Net Amount,Total(QTY*Rate),Other taxable Charges(If Any),taxable Amt,CGST AMT,SGST AMT,IGST AMT,Total GST AMT,Final Discount,Round Off,Gross Amount
2024-03-06 00:00:00,AR/2324/1013          ,EEK/SI/2324/3403         ,2024-02-29 00:00:00,Esoofali Esmailji Karachiwala & Co.               ,Capital                                                                                             ,Steel Wire Rope Dia 12 mm                         ,60.0,nos   ,145.0,,,18,10266.0,8700.0,,8700.0,,,1566.0,1566.0,,,10266.0
06-03-2024,AR/2324/1014          ,RJ/23-24/0673            ,2024-02-27 00:00:00,MANDELIA INSULATION & TRANSMISSION CO.            ,M1038                                                                                               ,Anti Skid Rubber Mat 1200 W x 6mm Thick           ,60.0,mtr   ,1458.0,,,18,103226.0,87480.0,,87480.0,,,15746.4,15746.4,,-0.4,103226.4
06-03-2024,AR/2324/1015          ,934                      ,2024-03-06 00:00:00,Balaji Engineering Works                          ,M1045                                                                                               ,Fixed Caster Bracket Profile PT-2575-05-01        ,80.0,nos   ,850.0,9,9,,182074.0,68000.0,,66402.0,5976.18,5976.18,,11952.36,-1598.0,-0.3,78354.36
06-03-2024,AR/2324/1015          ,934                      ,06-03-2024,Balaji Engineering Works                          ,M1045                                                                                               ,Foot Pedal Profile Drg No.3267-3                  ,45.0,nos   ,185.0,9,9,,,8325.0,3797,11897.22,1070.75,1070.75,,2141.5,-224.78,-0.3,14038.72
06-03-2024,AR/2324/1015          ,934                      ,06-03-2024,Balaji Engineering Works                          ,M1045                                                                                               ,Swivel Caster Bracket Profile PT-2575-04-01       ,80.0,nos   ,790.0,9,9,,,63200.0,,61601.04,5544.09,5544.09,,11088.18,-1598.96,-0.3,72689.22
06-03-2024,AR/2324/1015          ,934                      ,06-03-2024,Balaji Engineering Works                          ,M1045                                                                                               ,Towing Eye Profile 3622-3                         ,30.0,nos   ,480.0,9,9,,,14400.0,,14400.0,1296.0,1296.0,,2592.0,,-0.3,16992.0
2024-03-07 00:00:00,AR/2324/1016          ,APV-11313                ,2024-03-05 00:00:00,Ambika Paints                                     ,M1045                                                                                               ,Epoxy 206 Grey Primer                             ,60.0,ltr   ,200.0,9,9,,14160.0,12000.0,,12000.0,1080.0,1080.0,,2160.0,,,14160.0
07-03-2024,AR/2324/1017          ,SE-23-24-456             ,2024-03-05 00:00:00,Shah Enterprise                                   ,consumable                                                                                          ,Metal To Rubber Adhesive                          ,6.0,ltr   ,520.0,,,18,4130.0,3120.0,,3000.19,,,540.03,540.03,-119.81,-0.28,3540.22
07-03-2024,AR/2324/1017          ,SE-23-24-456             ,05-03-2024,Shah Enterprise                                   ,consumable                                                                                          ,Silicon Sealant 789 White                         ,1.0,nos   ,850.0,,,18,,850.0,,500.05,,,90.01,90.01,-349.95,-0.28,590.06
07-03-2024,AR/2324/1018          ,222                      ,2024-03-07 00:00:00,Viion Engineering                                 ,M1040                                                                                               ,Flange Plate 3718 - 3ab                           ,225.0,nos   ,215.0,9,9,,59207.0,48375.0,1800,50175.0,4515.75,4515.75,,9031.5,,0.5,59206.5
07-03-2024,AR/2324/1019          ,223                      ,2024-03-07 00:00:00,Viion Engineering                                 ,M1045                                                                                               ,Double Axle Stub                                  ,38.0,nos   ,1500.0,9,9,,243729.0,57000.0,,49783.8,4480.54,4480.54,,8961.08,-7216.2,-0.16,58744.88
07-03-2024,AR/2324/1019          ,223                      ,07-03-2024,Viion Engineering                                 ,M1045                                                                                               ,Lock Nut                                          ,10.0,nos   ,305.0,9,9,,,3050.0,,3046.34,274.17,274.17,,548.34,-3.66,-0.16,3594.68
07-03-2024,AR/2324/1019          ,223                      ,07-03-2024,Viion Engineering                                 ,M1045                                                                                               ,O' Ring Spacer                                    ,20.0,nos   ,240.0,9,9,,,4800.0,1000,5800.0,522.0,522.0,,1044.0,,-0.16,6844.0
07-03-2024,AR/2324/1019          ,223                      ,07-03-2024,Viion Engineering                                 ,M1045                                                                                               ,O' Ring Spacer                                    ,60.0,nos   ,240.0,9,9,,,14400.0,,14400.0,1296.0,1296.0,,2592.0,,-0.16,16992.0
07-03-2024,AR/2324/1019          ,223                      ,07-03-2024,Viion Engineering                                 ,M1045                                                                                               ,Swivel Caster Axle                                ,8.0,nos   ,3040.0,9,9,,,24320.0,,24320.0,2188.8,2188.8,,4377.6,,-0.16,28697.6
07-03-2024,AR/2324/1019          ,223                      ,07-03-2024,Viion Engineering                                 ,M1045                                                                                               ,Swivel Caster Housing                             ,14.0,nos   ,7800.0,9,9,,,109200.0,,109200.0,9828.0,9828.0,,19656.0,,-0.16,128856.0
2024-03-08 00:00:00,AR/2324/1020          ,1067                     ,2024-03-07 00:00:00,S.R.Engineering Industries                        ,M1038                                                                                               ,Compression Spring  wire Dia 9mm x 855 mm lg      ,3.0,nos   ,1850.0,9,9,,6549.0,5550.0,,5550.0,499.5,499.5,,999.0,,,6549.0
08-03-2024,AR/2324/1021          ,1144                     ,2024-03-06 00:00:00,S.R.Engineering Industries                        ,M1038                                                                                               ,Compression Spring  wire Dia 9mm x 855 mm lg      ,6.0,nos   ,1850.0,9,9,,13098.0,11100.0,,11100.0,999.0,999.0,,1998.0,,,13098.0
08-03-2024,AR/2324/1022          ,SE-23-24-457             ,2024-03-06 00:00:00,Shah Enterprise                                   ,Consumable                                                                                          ,Lashing Belt 50mm x 10 mtr lg.                    ,20.0,rol   ,400.0,,,18,8260.0,8000.0,,7000.0,,,1260.0,1260.0,-1000.0,,8260.0
08-03-2024,AR/2324/1023          ,APV-11331                ,2024-03-06 00:00:00,Ambika Paints                                     ,M1040                                                                                               ,PU Paint RAL  3020-Luminous Red                   ,100.0,ltr   ,465.0,9,9,,54870.0,46500.0,,46500.0,4185.0,4185.0,,8370.0,,,54870.0
08-03-2024,AR/2324/1024          ,2969/23-24               ,2024-02-26 00:00:00,Pooja Enterprises                                 ,M1041                                                                                               ,Ball Bearing 6204 ZZ                              ,3020.0,nos   ,40.0,,,18,144904.0,120800.0,2000,122800.0,,,22104.0,22104.0,,,144904.0
08-03-2024,AR/2324/1025          ,NR/23-24/MAR/01          ,2024-03-04 00:00:00,N R Controls                                      ,Spares                                                                                              ,"BLDC Motor 3KW, 48V, 3000RPM                      ",1.0,nos   ,17630.0,,,18,20803.0,17630.0,,17630.0,,,3173.4,3173.4,,-0.4,20803.4
